loinc_number,long_common_name,short_name,modality,anatomic_location,synonyms_count,top_synonyms
100349-0,US.doppler Penis vessels W vasodilator IV,DOP Penis ves W vasodilator IV,US,Pelvis,20,Document; DOP; DUPLEX; Echography; Finding
100369-8,NM Thyroid gland Views W Tl-201 IV,NM Thyroid Views W Tl-201 IV,NM,Neck,17,201TI; Document; Films; Finding; Findings
100655-0,XR Sella turcica Lateral,XR ST Lat,XR,Head,21,1V; Brain; Cranial; Cranium; Document
100760-8,XR Radius and Ulna - left Single view,XR Radius+Ulna-L 1V,XR,Upper extremity; True; Left,26,1V; Arm; Document; EXT; Extr-L
100852-3,NM Bones Views for metastasis W Sr-89 IV,NM Bones Views for mets W Sr-89 IV,NM,XXX,19,Document; Films; Finding; Findings; Imaging
100853-1,NM Pericardial space Views for effusion,NM Pericard space Views effusion,NM,Chest,15,Document; Films; Finding; Findings; Imaging
100879-6,US Guidance for cryoablation of Breast - right,US Guided Brst-R Cryoablation,US,Breast; True; Right,20,Brst; Brst-R; Document; Echography; Finding
100880-4,US Guidance for cryoablation of Breast - left,US Guided Brst-L Cryoablation,US,Breast; True; Left,20,Brst; Brst-L; Document; Echography; Finding
100881-2,MR Guidance for cryoablation of Bone,MR Guided Bone Cryoablation,MR,XXX,19,BON; Document; Finding; Findings; Guid
100882-0,MR Peritoneum W contrast percutaneous intraperitoneal,MR Peritoneum W contr percu,MR,Abdomen,21,Abd; Abdo; Abdomen+; Abdominal; c
100883-8,MR Guidance for biopsy of Kidney - left,MR Guided Kidney-L Bx,MR,True; Abdomen; Left,23,Abd; Abdo; Abdomen+; Abdominal; Bx
100884-6,MR Guidance for biopsy of Kidney - right,MR Guided Kidney-R Bx,MR,True; Abdomen; Right,23,Abd; Abdo; Abdomen+; Abdominal; Bx
101301-0,XR Thoracic spine Views 2 and Abdomen AP and Lateral,XR T Spine 2V + Abd Views AP+Lat,XR,Chest; Abdomen,39,2V; 2V + Views; 2V + Views AP+Lat; 2V+(Views; 2VW
101582-5,NM Gastrointestinal tract Views for protein-losing enteropathy W Tc-99m HSA IV,NM GI tract Vs PLE W Tc-99m HSA IV,NM,Abdomen; Pelvis,28,99 mTC; 99mTc; Abd; Abd+Pelvis; Abdo
103228-3,XR Spine Lumbar and Sacrum 2 or 3 Views,XR L-spine+Sacrum 2V or 3V,XR,Abdomen; Pelvis,32,2V; 2V or 3V; 2VW; Abd; Abdo
103229-1,XR Finger - right GE 2 Views,XR Finger-R GE 2V,XR,Upper extremity; True; Right,26,Arm; Document; EXT; Extr-R; Films
103230-9,XR Knee - bilateral 1 or 2 Views,XR Knee-Bl 1V or 2V,XR,Lower extremity; True; Bilateral,30,1V or 2V; Bil; Bilat; Both; Document
103231-7,XR Finger - left GE 2 Views,XR Finger-L GE 2V,XR,Upper extremity; True; Left,26,Arm; Document; EXT; Extr-L; Films
103232-5,XR Toe third - right GE 2 Views,XR Toe 3rd-R GE 2V,XR,Lower extremity; True; Right,30,3rd; 3rd toe; Document; EXT; Extr-R
103233-3,XR Pelvis and Hip - right View AP and Views 2 or 3,XR Pelvis and Hip-R AP + 2V or 3V,XR,Pelvis; Lower extremity; True; Right,42,1V; 2V; 2V or 3V; 2VW; Anterio-Posterior
103234-1,XR Pelvis and Hip - right 2 or 3 Views,XR Pelvis and Hip-R 2V or 3V,XR,Pelvis; Lower extremity; True; Right,33,2V; 2V or 3V; 2VW; Document; EXT
103235-8,XR Pelvis and Hip - left 2 or 3 Views,XR Pelvis and Hip-L 2V or 3V,XR,Pelvis; Lower extremity; True; Left,33,2V; 2V or 3V; 2VW; Document; EXT
103236-6,XR Toes - right GE 2 Views,XR Toes-R GE 2V,XR,Lower extremity; True; Right,31,Distal metatarsals; Document; EXT; Extr-R; Films
103237-4,XR Toes - left GE 2 Views,XR Toes-L GE 2V,XR,Lower extremity; True; Left,31,Distal metatarsals; Document; EXT; Extr-L; Films
103238-2,XR Hip - right 2 or 3 Views,XR Hip-R 2V or 3V,XR,Lower extremity; True; Right,29,2V; 2V or 3V; 2VW; Document; EXT
103239-0,XR Humerus - right GE 2 Views,XR Humerus-R GE 2V,XR,Upper extremity; True; Right,27,Arm; Document; EXT; Extr-R; Films
103240-8,XR Humerus - left GE 2 Views,XR Humerus-L GE 2V,XR,Upper extremity; True; Left,27,Arm; Document; EXT; Extr-L; Films
103241-6,XR Spine 2 or 3 Views,XR Spine 2V or 3V,XR,XXX,26,2V; 2V or 3V; 2VW; Document; Films
103242-4,XR Hip - left 2 or 3 Views,XR Hip-L 2V or 3V,XR,Lower extremity; True; Left,29,2V; 2V or 3V; 2VW; Document; EXT
103243-2,XR Nasal bones GE 3 Views,XR Nasal bones GE 3V,XR,Head,22,Brain; Cranial; Cranium; Document; Films
103244-0,XR Great toe - left GE 2 Views,XR Great toe-L GE 2V,XR,Lower extremity; True; Left,27,Document; EXT; Extr-L; Films; Finding
103245-7,XR Hand - bilateral GE 3 Views,XR Hand-Bl GE 3V,XR,Upper extremity; True; Bilateral,28,Arm; Bil; Bilat; Both; Document
103246-5,XR Pelvis and Hip - bilateral 2 Views,XR Pelvis and Hip-Bl 2V,XR,Pelvis; Lower extremity; True; Bilateral,33,2V; 2VW; Bil; Bilat; Both
103247-3,XR Great toe - right GE 2 Views,XR Great toe-R GE 2V,XR,Lower extremity; True; Right,27,Document; EXT; Extr-R; Films; Finding
103248-1,XR Femur - right GE 2 Views,XR Femur-R GE 2V,XR,Lower extremity; True; Right,29,Document; EXT; Extr-R; Femoral; Femur-R
103249-9,XR Pelvis and Hip - left View AP and Views 2 or 3,XR Pelvis and Hip-L AP + 2V or 3V,XR,Pelvis; Lower extremity; True; Left,42,1V; 2V; 2V or 3V; 2VW; Anterio-Posterior
103250-7,XR Femur - left GE 2 Views,XR Femur-L GE 2V,XR,Lower extremity; True; Left,29,Document; EXT; Extr-L; Femoral; Femur-L
103251-5,XR Cervical spine LE 3 Views,XR C-spine LE 3V,XR,Neck,22,C/sp; Cerv; C-spine; Document; Films
103252-3,XR Pelvis and Hip - bilateral View AP and View 2,XR Pelvis and Hip-Bl AP + 2V,XR,Pelvis; Lower extremity; True; Bilateral,41,1V; 2V; 2VW; Anterio-Posterior; Anteroposterior
