pmid,title,journal,year,abstract,text_length
41085394,Feasibility of Auditing Preoperative Breast MRI for Extent-of-Disease Evaluation Using the BI-RADS v2025 Manual.,Radiology,2025,"Background The forthcoming Breast Imaging Reporting and Data System (BI-RADS) version 2025 (hereafter, v2025) manual recommends auditing breast MRI examinations performed to evaluate the extent of disease in women newly diagnosed with breast cancer. Purpose To investigate the feasibility of this recommended audit using preoperative breast MRI examinations performed over 2 years, report the calculated metrics, and identify any clinical or imaging characteristics associated with improved MRI performance metrics. Materials and Methods Consecutive breast MRI examinations performed from January 2021 to December 2022 at The University of Texas MD Anderson Cancer Center were retrospectively reviewed, excluding screening, diagnostic, neoadjuvant chemotherapy response, and nondiagnostic or incomplete preoperative MRI examinations. Recommended audit calculations were performed as described in the BI-RADS v2025 manual: abnormal interpretation rate (AIR) (percentage of positive preoperative MRI examinations), positive predictive value of biopsies recommended (PPV2) (percentage of all distinct BI-RADS category 4 or 5 findings, not examinations, with a tissue diagnosis of cancer at image-guided biopsy), positive predictive value of biopsies performed (PPV3) (percentage of BI-RADS category 4 or 5 findings, not examinations, with preoperative image-guided biopsy revealing a tissue diagnosis of cancer), and additional cancer detection rate (ACDR) (number of additional malignant lesions diagnosed beyond the primary cancer per 1000 MRI examinations). Total time collecting data and performing calculations was recorded. Characteristics of benign and malignant BI-RADS 4 or 5 lesions were compared using the Wilcoxon rank sum test and Fisher exact test. Logistic regression was used to determine characteristics associated with malignancy. Results A total of 1533 preoperative MRI examinations were included (median patient age, 54.6 years; IQR, 45.5-65.2 years; all female), with 464 MRI examinations revealing 609 suspicious breast findings. Subsequent image-guided biopsy for 432 of these findings revealed 139 malignancies. The overall AIR was 30.3% (95% CI: 28.0, 32.6), overall PPV2 was 22.8% (95% CI: 19.5, 26.1), overall PPV3 was 32.2% (95% CI: 27.8, 36.6), and overall ACDR was 90.7 per 1000 examinations (95% CI: 74.3, 107.1). Seven radiologists spent a combined total of 141 hours collecting data and performing audit calculations. Older patient age (odds ratio, 1.04; 95% CI: 1.02, 1.05; ",2506
41055500,How I Do It: CT-guided Percutaneous Transthoracic Lung Biopsy.,Radiology,2025,"Imaging of the chest for screening or evaluation of lung pathology is one of the most commonly performed radiologic studies. The identification and confirmation of persistent pulmonary nodules, masses, or consolidations on cross-sectional imaging studies warrants additional diagnostic testing to determine the exact pathologic abnormality. Diagnostic work-up may include sputum cytologic examination, thoracentesis, transbronchial aspiration, or percutaneous transthoracic lung biopsy (PTLB). Due to advances in imaging and medical technology, CT-guided core needle biopsy has largely replaced fluoroscopic-guided fine-needle aspiration in PTLB. The goals of PTLB are to accurately target lung lesions of varying sizes, morphologic characteristics, and locations while obtaining adequate samples for histologic diagnosis, microbiologic assessment, and molecular profiling of tumors. Commonly performed by general, thoracic, or interventional radiologists, PTLB must be executed with precision and efficiency to meet these objectives. Potential complications can be life-threatening and require prompt recognition and management. Therefore, all radiologists performing PTLB should be well versed in the principles, techniques, and latest developments in the field to provide safe, effective, and efficient care to their patients. At our institution, the interventional radiology team performs all PTLB procedures and are well equipped to perform CT-guided lung biopsies, adhering closely to the principles outlined in this article.",1531
41055497,Comparison of 10-year Survival Outcomes between CT Surveillance and Surgery for Ground-Glass Nodules.,Radiology,2025,"Background The debate over whether to manage pulmonary ground-glass nodules (GGNs) that increase in size during surveillance with continued follow-up or surgery poses challenges in clinical practice. Purpose To provide evidence-based insights into the long-term survival and appropriateness of surveillance for GGNs, particularly those that increase in size during follow-up. Materials and Methods In this prospective study, patients with GGNs detected at CT examinations between March 2005 and December 2013 were included at the National Cancer Center, China, and followed up until May 2024. The primary analysis compared overall survival (OS) between the surveillance and surgery groups among all individuals with GGNs, stable GGNs, and GGNs that increased in size. The secondary outcome was recurrence-free survival, confirmed with either pathologic findings or clinical-radiologic consensus. Cost and duration of surgery were also analyzed. Propensity score matching was used to balance baseline characteristics when comparing outcomes between groups. Multivariable Cox proportional hazard models were used to determine adjusted hazard ratios and 95% CIs. Results A total of 1003 GGNs in 684 individuals (median age, 56 years; IQR, 49-62 years; 434 female) were evaluated; among them, 40 individuals had dominant GGNs that developed solid components, whereas 644 individuals maintained their status as GGNs. Of these, 207 (32.1%) underwent surgery. There was no evidence of a difference observed in 10-year OS between surveillance and surgery groups (94.7% [95% CI: 92.2, 97.2] vs 97.6% [95% CI: 95.3, 100], respectively; ",1626
41055493,Imaging Features and Diagnostic Performance of US in Nonmass Lesions with Varying Clinical Indications.,Radiology,2025,"Background The diagnostic performance of breast US for nonmass lesions (NML) is not well validated. Purpose To evaluate and compare the imaging features and diagnostic performance of US for NMLs across clinical indications. Materials and Methods This retrospective study included NMLs that underwent US-guided biopsy from January 2014 to February 2021. Lesions were also classified by their clinical indications as screening, diagnostic: work-up (DWU), or diagnostic: current breast cancer (DCBC). Logistic regression was used to identify factors associated with malignancy. The positive predictive values (PPVs) of imaging features and areas under the receiver operating characteristic curve (AUCs) of the clinical Breast Imaging Reporting and Data System (BI-RADS)-based assessments were calculated and compared between clinical indication groups using the Fisher exact or χ",876
41025989,Colorectal Cancer and Advanced Adenoma after Single CT Colonography or Biennial FIT Screening in the SAVE Randomized Controlled Trial.,Radiology,2025,"Background A 5-year screening interval for CT colonography (CTC) and a 2-year screening interval for fecal immunochemical tests (FITs) have been recommended on the basis of the natural history of colorectal cancer (CRC). Purpose To assess whether the recommended 5-year interval for screening CTC is appropriate and whether CTC is associated with earlier diagnosis relative to biennial FIT screening. Materials and Methods This secondary analysis of the SAVE randomized controlled trial was conducted between March 2012 and March 2018; 14 981 participants aged 54-65 years were randomly assigned to groups undergoing a single CTC examination or three biennial FITs for CRC screening. After the trial period ended, all participants aged younger than 70 years were invited to undergo biennial FIT. The incidence rates of CRC and advanced adenoma (AdA) until December 31, 2021 (mean, 8.4 years of follow-up), in the 1286 participants who underwent CTC and 6027 participants who underwent at least one trial FIT were compared using Cox regression models adjusted for age, sex, and socioeconomic status. Results In the CTC arm, one interval CRC was observed during the 5 years following CTC, and no cancers were detected thereafter. Overall, nine CRC cases were diagnosed in the CTC arm and 58 in the FIT arm, with no statistically significant difference in CRC incidence rates between the two groups (adjusted hazard ratio, 0.73 [95% CI: 0.36, 1.47]; ",1447
40985829,Molecular Breast Imaging and Digital Breast Tomosynthesis for Dense Breast Screening: The Density MATTERS Trial.,Radiology,2025,"Background Molecular breast imaging (MBI) relies on the functional uptake of a radiotracer, technetium 99m sestamibi, to reveal cancers that are occult on mammograms due to breast density. Purpose To assess the performance of screening MBI as a supplement to digital breast tomosynthesis (DBT) in women with dense breasts. Materials and Methods In this prospective, multiyear, multicenter trial from five sites, women with dense breasts were prospectively enrolled from 2017 to 2022 and underwent two annual screening rounds of DBT and MBI to assess the incremental cancer detection rate (CDR, reported as cancers per 1000 screenings) of supplemental MBI and to compare other performance metrics of DBT and MBI. Results A total of 2978 participants were included. Participants had a mean age of 56.8 years ± 9.3 (SD) and a mean lifetime Tyrer-Cuzick risk of 12.0% ± 7.9 (SD). At year 1, the CDR was 5.0‰ (15 of 2978 participants) with DBT and 11.8‰ (35 of 2978 participants) with DBT plus prevalence screening MBI (incremental CDR, 6.7‰ [95% CI: 4.2, 10.6]; ",1058
40976009,Comparative analysis of FES-PET/CT and FDG-PET/CT in patients with ER-positive metastatic invasive lobular breast cancer.,"European journal of cancer (Oxford, England : 1990)",2025,"Detection of metastatic invasive lobular carcinoma (mILC) with standard imaging is challenging. 2-[18F]Fluoro-2-deoxyglucose (FDG) PET/CT is commonly used in the work-up of metastatic breast cancer (MBC), but may be suboptimal for mILC. 16α-[18F]Fluoro-17β-estradiol (FES) PET/CT measures estrogen receptor (ER) expression, which is generally high in mILC. To assess whether FES-PET/CT outperforms FDG-PET/CT, we compared the detection rate of both scans to identify mILC, in patients who were enrolled in the prospective IMPACT-MBC study. Patients with newly diagnosed ER-positive mILC underwent baseline FDG-PET/CT, FES-PET/CT, diagnostic computed tomography (CT), bone scintigraphy, and a biopsy of a metastasis. The number of metastases visible on FDG-PET/CT or FES-PET/CT was compared to all metastases identified with any imaging modality. Results were analyzed at patient and lesion level. Twenty-six out of 200 patients had ER-positive mILC and were included in this sub-analysis. Mean number of metastases per patient was 34 (2-77) with FDG-PET/CT and 33 (0-88) with FES-PET/CT. In 12 patients (46 %), more metastases were visible on FDG-PET/CT than FES-PET/CT, in 12 patients, this was the reverse. Out of 1101 metastases detected with all imaging modalities, 889 metastases were detected with FDG-PET/CT and 859 with FES-PET/CT, resulting in a detection rate of 81 % (95 % CI 78 - 83) and 78 % (95 % CI 76 - 80), respectively. Two patients had a negative FES-PET/CT, while no patients had a negative FDG-PET/CT. FES-PET/CT and FDG-PET/CT have a similar detection rate in mILC, and FDG-PET/CT should be used for first-step imaging. However, as more metastases are visible on FES-PET/CT in a considerable part of mILC patients, in case of doubt, an additional FES-PET/CT should be considered.",1801
40974865,Acupuncture effect on brain default mode network connectivity in breast cancer patients with hot flashes: A randomized controlled trial.,"European journal of cancer (Oxford, England : 1990)",2025,"To use functional MRI to assess the effect of acupuncture on brain resting-state functional connectivity in breast cancer patients with hot flashes. A total of 24 breast cancer patients experiencing hot flashes (BC-HF) underwent 5 weeks of acupuncture treatment and follow-up at 4-6 months after therapy. The control groups included 35 patients with breast cancer without hot flashes (BC-NF) and 30 healthy controls respectively. Functional connectivity (FC) within the brain default mode network (DMN) was assessed using resting-state functional MRI at baseline and after treatment. The primary outcome was the change in the hot flash composite score (HFCS), and secondary outcomes included sleep quality and quality of life. Acupuncture significantly improved HFCS (-3.87; 95 % CI, -2.21 to -7.32; p < 0.001) and enhanced FC between the right temporal gyrus and angular area (p = 0.001) as well as the medial prefrontal cortex (p = 0.009). At 4-6 months follow-up, BC-HF group maintained 45.4 % improvement in hot flashes syndrome. No significant changes were observed in the sleep quality or quality of life. A strong correlation was found between increased FC and a reduction in HFCS only in a subgroup of patients who responded positively to acupuncture (r = 0.726, p = 0.001). This study provided the first evidence that acupuncture can enhance brain connectivity within the DMN and significantly alleviate the long-term clinical outcome of HF in breast cancer patients. These findings underscore the potential of acupuncture as a viable nonpharmacological option for managing vasomotor symptoms.",1602
40956165,External Test of a Deep Learning Algorithm for Pulmonary Nodule Malignancy Risk Stratification Using European Screening Data.,Radiology,2025,"Background Low-dose CT screening reduces lung cancer-related deaths but has high rates of false-positive findings. A deep learning (DL) algorithm could improve nodule risk stratification but requires robust external testing. Purpose To externally test a DL algorithm for nodule malignancy risk estimation using pooled data from three large European lung cancer screening trials. Materials and Methods In this retrospective study, a DL algorithm trained on National Lung Screening Trial data was externally tested using baseline CT scans from the Danish Lung Cancer Screening Trial, the Multicentric Italian Lung Detection trial, and the Dutch-Belgian Lung Cancer Screening Trial. Performance was assessed across the pooled cohort and two subsets: subset A, including indeterminate nodules (5-15 mm); and subset B, including cancers size-matched to benign nodules (1:2 ratio). Performance, including the area under the receiver operating characteristic curve (AUC), was compared with the Pan-Canadian Early Detection of Lung Cancer (PanCan) model. Results The pooled cohort included 4146 participants (median age, 58 years; 78% male participants; median smoking history, 38 pack-years) with 7614 benign and 180 malignant nodules. The DL algorithm achieved AUCs of 0.98, 0.96, and 0.94 for cancers diagnosed within 1 year, 2 years, and throughout screening, respectively, compared with 0.98, 0.94, and 0.93 (",1406
40956163,Radiologist's Guide to the Ninth Edition TNM Staging System for Quantitative and Qualitative Assessment of Pleural Mesothelioma.,Radiology,2025,"Pleural mesothelioma is a highly lethal, rare thoracic malignant neoplasm arising from mesothelial cells. Previous versions of the clinical TNM staging classification have relied on a qualitative radiologic assessment of tumor invasion. However, these qualitative assessments have not proved practical to implement, with poor interobserver agreement and lack of prognostic significance. The updated ninth edition of the International Association for the Study of Lung Cancer TNM staging system for pleural mesothelioma, jointly published by the American Joint Committee on Cancer and Union for International Cancer Control, proposes key evidence-based changes. The ninth edition incorporates quantitative measurements of pleural tumor and fissural thickness in the T descriptors for pleural mesothelioma and removes the qualitative descriptors that cannot be reliably detected on CT scans, such as endothoracic fascia, lung parenchymal invasion, and nontransmural diaphragm invasion or involvement. This article explains the rationale behind these changes and provides a practical guide to the ninth edition of the TNM staging system in clinical practice.",1155
