rid,preferred_name,definition,synonyms,acronyms
RID0,RadLex ontology entity,,,
RID1,RadLex entity,,,
RID10,image quality,,,
RID10009,palatine fossa,,,
RID10012,palatine aponeurosis,,,
RID10013,levator veli palatini muscle,,,
RID10014,tensor veli palatini muscle,,,
RID10015,musculus uvulae muscle,,uvular muscle,
RID10045,vomeronasal organ,,Jacobson organ,
RID10047,supreme nasal turbinate,,highest nasal turbinate,
RID10049,superior nasal turbinate,,,
RID10050,middle nasal turbinate,,,
RID10051,inferior nasal turbinate,,,
RID10087,helicis major muscle,,,
RID10088,helicis minor muscle,,,
RID10089,tragicus muscle,,,
RID1009,systemic vein,Vein in the systemic venous system.,,
RID10090,pyramidal muscle of auricle,,,
RID10091,antitragus muscle,,,
RID10092,transverse muscle of auricle,,,
RID10093,oblique muscle of auricle,,,
RID101,upper esophageal sphincter,"The structure at the pharyngoesophageal junction consisting chiefly of the cricopharyngeus muscle. It normally occludes the lumen of the esophagus, except during swallowing. [MeSH]",,
RID10103,,,,
RID10104,,,,
RID10115,,,,
RID10178,anterior ligament of malleus,,,
RID10179,superior ligament of malleus,,,
RID10180,lateral ligament of malleus,,,
RID10181,superior ligament of incus,,,
RID10182,posterior ligament of incus,,,
RID10183,stapedial membrane,,,
RID10184,annular ligament of stapes,,,
RID10187,tensor tympani,"Tensor muscle of the tympanic membrane that draws the handle of the malleus medialward and tenses the tympanic membrane. (Stedman, 25th ed) [MeSH]",,
RID10188,stapedius,The stapedius muscle arises from the wall of the middle ear and is inserted into the neck of the stapes. Its action is to pull the head of the stapes backward. [MeSH],,
RID10239,,,,
RID10246,,,,
RID10259,utricular duct,,,
RID10260,saccular duct,,,
RID10309,labyrinthine vein,,internal auditory vein,
RID10311,imaging modality,Form of imaging that depends on the  way the image is produced,,
RID10315,magnetic resonance spectroscopy,"Spectroscopic method of measuring the magnetic moment of elementary particles such as atomic nuclei, protons or electrons. It is employed in clinical applications such as nmr tomography (magnetic resonance imaging). [MeSH]",spectro,MRS
RID10317,functional magnetic resonance imaging,,functional MRI,fMRI
RID10319,magnetic resonance angiography,Non-invasive method of vascular imaging and determination of internal anatomy without injection of contrast media or radiation exposure. The technique is used especially in cerebral angiography as well as for studies of other vascular structures. [MeSH],,MRA
RID10323,quantitative computed tomography,,quantitative CT,QCT
RID10330,nuclear medicine imaging,,,NM
RID10332,single photon imaging,,,
RID10333,planar nuclear medicine imaging,,,
RID10336,bremsstrahlung imaging,,,
RID10349,computed radiography,,,CR
RID10351,digital radiography,,,DR
RID10353,screen-film radiography,,conventional radiography; plain film radiography,
RID10356,dual-energy subtraction radiography,,,
RID10358,conventional tomography,tube (and maybe also receptor) moves to create a projection radiograph,,
RID10359,tomosynthesis,,,
RID10360,panographic radiograph,,,
RID10363,dual energy xray absorptiometry,,DXA; dual energy x-ray absorptiometry,DEXA
RID10365,catheter angiography,,DSA,
RID10367,interventional radiology procedure,"Subspecialty of radiology that combines organ system radiography, catheter techniques and sectional imaging. [MeSH]",Ir; interventional radiology,
RID10370,modality descriptor,,,
RID10373,arthrography,"Roentgenography of a joint, usually after injection of either positive or negative contrast medium. [MeSH]",arthro,
RID10374,diffusion,The tendency of a gas or solute to pass from a point of higher pressure or concentration to a point of lower pressure or concentration and to distribute itself throughout the available space; a major mechanism of biological transport. [MeSH],,
RID10375,Doppler,,,
RID10376,perfusion imaging,,,
RID10377,spectroscopy,"The measurement of the amplitude of the components of a complex waveform throughout the frequency range of the waveform. (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed) [MeSH]",,
RID10378,functional,,,
RID10379,venography,Radiographic visualization or recording of a vein after the injection of contrast medium. [MeSH],veno,
RID10381,intervention,,,
RID10382,orderable technique,,,
RID10383,portable,,bedside; port,
RID10385,dynamic,,,
RID10386,limited evaluation,,,
RID10387,complete evaluation,,,
RID10388,orderable priority,,,
RID10389,stat blue,,,
RID10390,stat,,,
RID10391,urgent,,,
RID10392,routine,,,
